team_name,category,model,livery,championship_names,livery_id,model_folder
A. J. Foyt Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #06,NTT IndyCar,57,formula_usa_2023
A. J. Foyt Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #55,NTT IndyCar,78,formula_usa_2023
A. J. Foyt Racing,F-Reiza,Formula V8 Gen3,energyX Faenza #5,Indy NXT,55,formula_reiza
A. J. Foyt Racing,F-Reiza,Formula V8 Gen3,energyX Faenza #6,Indy NXT,56,formula_reiza
A. J. Foyt Racing,F-3,Dallara F309,Power On Racing #86,USF Pro 2000,67,f309
A. J. Foyt Racing,F-3,Dallara F309,Prop Racing #17,USF Pro 2000,58,f309
A. J. Foyt Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #82,USF2000,69,formula_inter
A. J. Foyt Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #91,USF2000,70,formula_inter
Abel Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #33,USF2000,66,formula_inter
Abel Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #36,USF2000,67,formula_inter
Abel Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #14,USF Junior,64,formula_trainer_d
Abel Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #15,USF Junior,65,formula_trainer_d
Abel Motorsports,F-Trainer,Formula Trainer,Formula Trainer #22 - F.Scomasson Skin,F1600,72,formula_trainer
Abel Motorsports,F-Trainer,Formula Trainer,Formula Trainer #23 - N.Otten Skin,F1600,73,formula_trainer
Abel Motorsports,F-Vee_Gen2,Formula Vee Gen2,Andre Crocci #6,Formula Vee North America,54,formula_vee_gen2
Abel Motorsports,F-Vee_Gen2,Formula Vee Gen2,Davi Osachuki #35,Formula Vee North America,60,formula_vee_gen2
Adria Motorsport Venture,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #48,Lamborghini Super Trofeo Europe,65,lamborghini_huracan_supertrofeo_evo2
Adria Motorsport Venture,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #50,Lamborghini Super Trofeo Europe,66,lamborghini_huracan_supertrofeo_evo2
Adria Motorsport Venture,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #007,World Endurance Championship,52,aston_martin_valkyrie_lmh
Adria Motorsport Venture,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #009,World Endurance Championship,53,aston_martin_valkyrie_lmh
Adria Motorsport Venture,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #42,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe",55,aston_martin_vantage_gt3_evo
Adria Motorsport Venture,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #73,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe",56,aston_martin_vantage_gt3_evo
Adria Motorsport Venture,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #22,"European Le Mans Series, Michelin Le Mans Cup",51,audi_r8_lms_gt3
Adria Motorsport Venture,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #69,"European Le Mans Series, Michelin Le Mans Cup",52,audi_r8_lms_gt3
Adria Motorsport Venture,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #10,European Le Mans Series,51,ligier_js_p217
Adria Motorsport Venture,P1Gen2,Ligier JS P320,Ligier JS P320 #15,Michelin Le Mans Cup,53,ligier_js_p320
Adria Motorsport Venture,P4,MCR S2000,MCR S2000 #3,Radical Cup Europe,52,mcr2000
Adria Motorsport Venture,P4,MCR S2000,MCR S2000 #4,Radical Cup Europe,53,mcr2000
